Date Key,Calender Date Start,Calender Date End,Weekday Number,Day,Day Abbreviated,Day Of Month,Is Weekend,Is Weekday,Month Of Year,Month,Month Abbreviated,Year
1,01/01/1993 00:00,01/01/1993 23:59,5,Friday,Fri,1,0,1,1,January,Jan,1993
2,02/01/1993 00:00,02/01/1993 23:59,6,Saturday,Sat,2,1,0,1,January,Jan,1993
3,03/01/1993 00:00,03/01/1993 23:59,0,Sunday,Sun,3,1,0,1,January,Jan,1993
4,04/01/1993 00:00,04/01/1993 23:59,1,Monday,Mon,4,0,1,1,January,Jan,1993
5,05/01/1993 00:00,05/01/1993 23:59,2,Tuesday,Tue,5,0,1,1,January,Jan,1993
6,06/01/1993 00:00,06/01/1993 23:59,3,Wednesday,Wed,6,0,1,1,January,Jan,1993
7,07/01/1993 00:00,07/01/1993 23:59,4,Thursday,Thu,7,0,1,1,January,Jan,1993
8,08/01/1993 00:00,08/01/1993 23:59,5,Friday,Fri,8,0,1,1,January,Jan,1993
9,09/01/1993 00:00,09/01/1993 23:59,6,Saturday,Sat,9,1,0,1,January,Jan,1993
10,10/01/1993 00:00,10/01/1993 23:59,0,Sunday,Sun,10,1,0,1,January,Jan,1993
11,11/01/1993 00:00,11/01/1993 23:59,1,Monday,Mon,11,0,1,1,January,Jan,1993
12,12/01/1993 00:00,12/01/1993 23:59,2,Tuesday,Tue,12,0,1,1,January,Jan,1993
13,13/01/1993 00:00,13/01/1993 23:59,3,Wednesday,Wed,13,0,1,1,January,Jan,1993
14,14/01/1993 00:00,14/01/1993 23:59,4,Thursday,Thu,14,0,1,1,January,Jan,1993
15,15/01/1993 00:00,15/01/1993 23:59,5,Friday,Fri,15,0,1,1,January,Jan,1993
16,16/01/1993 00:00,16/01/1993 23:59,6,Saturday,Sat,16,1,0,1,January,Jan,1993
17,17/01/1993 00:00,17/01/1993 23:59,0,Sunday,Sun,17,1,0,1,January,Jan,1993
18,18/01/1993 00:00,18/01/1993 23:59,1,Monday,Mon,18,0,1,1,January,Jan,1993
19,19/01/1993 00:00,19/01/1993 23:59,2,Tuesday,Tue,19,0,1,1,January,Jan,1993
20,20/01/1993 00:00,20/01/1993 23:59,3,Wednesday,Wed,20,0,1,1,January,Jan,1993
21,21/01/1993 00:00,21/01/1993 23:59,4,Thursday,Thu,21,0,1,1,January,Jan,1993
22,22/01/1993 00:00,22/01/1993 23:59,5,Friday,Fri,22,0,1,1,January,Jan,1993
23,23/01/1993 00:00,23/01/1993 23:59,6,Saturday,Sat,23,1,0,1,January,Jan,1993
24,24/01/1993 00:00,24/01/1993 23:59,0,Sunday,Sun,24,1,0,1,January,Jan,1993
25,25/01/1993 00:00,25/01/1993 23:59,1,Monday,Mon,25,0,1,1,January,Jan,1993
26,26/01/1993 00:00,26/01/1993 23:59,2,Tuesday,Tue,26,0,1,1,January,Jan,1993
27,27/01/1993 00:00,27/01/1993 23:59,3,Wednesday,Wed,27,0,1,1,January,Jan,1993
28,28/01/1993 00:00,28/01/1993 23:59,4,Thursday,Thu,28,0,1,1,January,Jan,1993
29,29/01/1993 00:00,29/01/1993 23:59,5,Friday,Fri,29,0,1,1,January,Jan,1993
30,30/01/1993 00:00,30/01/1993 23:59,6,Saturday,Sat,30,1,0,1,January,Jan,1993
31,31/01/1993 00:00,31/01/1993 23:59,0,Sunday,Sun,31,1,0,1,January,Jan,1993
32,01/02/1993 00:00,01/02/1993 23:59,1,Monday,Mon,1,0,1,2,February,Feb,1993
33,02/02/1993 00:00,02/02/1993 23:59,2,Tuesday,Tue,2,0,1,2,February,Feb,1993
