Session_Key,recommended_age,recommended_class_size,recommended_amt_of_staff,theme,length
1,13-15,50+,1,Deep dive,3
2,15+,25-30,2,Digital divide,1
3,15+,50+,2,Quantum supremacy,3
4,13-15,20-25,2,Driven Development,3
5,15+,15-20,2,Bleeding edge,4
6,15+,45-50,2,User generated content,4
7,5-7,Below 10,1,Digital signage,2
8,11-13,15-20,2,Algorithm,4
9,11-13,50+,3,Dot-bomb,4
10,7-9,45-50,2,DevOps,1
11,9-11,35-40,2,Immersion,1
12,5-7,25-30,1,Cloud-computing,3
13,7-9,35-40,2,Microservices,4
14,Below 5,15-20,2,Mashup,2
15,9-11,40-45,2,Technological Masturbation,3
16,15+,35-40,1,Cloud-computing,1
17,9-11,Below 10,3,4G,3
18,13-15,45-50,3,Microservices,1
19,11-13,50+,1,Folksonomy,4
20,Below 5,40-45,2,Eco,2
21,7-9,50+,2,Front-end,3
22,13-15,10-15,3,Framework,3
23,11-13,20-25,3,Information superhighway / Information highway,1
24,Below 5,20-25,1,Skeuomorphic,4
25,11-13,35-40,2,Virtualization,3
26,Below 5,30-35,3,End-to-end,2
27,13-15,50+,2,Digital divide,1
28,5-7,45-50,2,Transmedia,4
29,11-13,35-40,1,Bring your own Device,4
30,13-15,Below 10,1,Convergence,1
31,5-7,20-25,1,Content management,2
32,15+,10-15,3,Scalability,3
33,11-13,30-35,3,Enterprise Service Bus,2
34,Below 5,30-35,3,Web 2.0,1
35,15+,25-30,3,Big data,4
36,11-13,20-25,2,Deep dive,3
37,9-11,40-45,2,Machine Learning,1
38,7-9,50+,1,Bio,2
39,Below 5,25-30,2,Netiquette,4
40,11-13,20-25,1,Design pattern,3
41,15+,35-40,1,4G,2
42,15+,20-25,1,CSS3,3
43,9-11,30-35,3,Systems Development Life-Cycle,1
44,15+,25-30,3,SDN- Software defined Networking,3
45,7-9,25-30,2,Modularity,3
46,13-15,40-45,3,UC - Unified Communications,1
47,7-9,45-50,3,Cyber-physical Systems (CPS),4
48,Below 5,50+,2,Bio,1
49,9-11,10-15,3,Nanotechnology,1
50,13-15,35-40,2,4G,2
51,5-7,15-20,1,Modularity,2
52,13-15,20-25,2,Framework,4
53,9-11,25-30,3,CSS3,3
54,Below 5,50+,1,Enterprise Service Bus,1
55,Below 5,20-25,2,Ideation Management,4
56,11-13,Below 10,3,Blockchain,2
57,9-11,50+,1,PaaS,2
58,7-9,10-15,2,Content Management System - also known as CMS.,4
59,5-7,15-20,3,End-to-end,2
60,13-15,50+,2,Datafication,1
61,13-15,35-40,3,Data mining,1
62,11-13,15-20,3,Fuzzy logic,4
63,5-7,Below 10,2,Quantum supremacy,1
64,5-7,20-25,2,Deep learning,3
65,13-15,20-25,3,Virtualization,3
66,7-9,35-40,3,Andon,2
67,Below 5,10-15,1,User generated content,4
68,9-11,30-35,3,Systems Development Life-Cycle,3
69,5-7,10-15,3,Data mining,2
70,11-13,20-25,1,Data science,4
71,7-9,20-25,2,IaaS,4
